day,week,weekly_theme,main_reading,companion,make_it_real_prompt
237,34,Revival and returning to God,2 Chronicles 21-23,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
238,34,Revival and returning to God,2 Chronicles 24-26,Psalms 100,What does honest prayer about this look like for you today?
239,35,Revival and returning to God,2 Chronicles 27-29,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
240,35,Revival and returning to God,2 Chronicles 30-31,Proverbs 20,What's the invitation here — and what's holding you back from saying yes?
241,35,Revival and returning to God,2 Chronicles 32-34,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
242,35,Revival and returning to God,"2 Chronicles 35-36, Ezra 1",Psalms 101,What's one thing God might be inviting you to do differently this week?
243,35,Revival and returning to God,Ezra 2-4,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
244,35,Revival and returning to God,Ezra 5-7,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
245,35,Revival and returning to God,Ezra 8-9,Psalms 102,Where do you need grace today instead of trying to earn it?
246,36,"Vision, prayer, and hard work","Ezra 10, Nehemiah 1-2",Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
247,36,"Vision, prayer, and hard work",Nehemiah 3-5,Psalms 103,What feeling or fear does this passage speak to right now?
248,36,"Vision, prayer, and hard work",Nehemiah 6-8,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
249,36,"Vision, prayer, and hard work",Nehemiah 9-11,Psalms 104,What would change if you actually believed this today?
250,36,"Vision, prayer, and hard work",Nehemiah 12-13,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
251,36,"Vision, prayer, and hard work",Esther 1-3,Psalms 105,What habit or mindset is this passage gently challenging?
252,36,"Vision, prayer, and hard work",Esther 4-6,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
253,37,Faith through suffering and unanswered questions,Esther 7-9,Proverbs 21,What does honest prayer about this look like for you today?
254,37,Faith through suffering and unanswered questions,"Esther 10, Job 1-2",Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
255,37,Faith through suffering and unanswered questions,Job 3-4,Psalms 106,What's the invitation here — and what's holding you back from saying yes?
256,37,Faith through suffering and unanswered questions,Job 5-7,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
257,37,Faith through suffering and unanswered questions,Job 8-10,Psalms 107,What's one thing God might be inviting you to do differently this week?
258,37,Faith through suffering and unanswered questions,Job 11-13,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
259,37,Faith through suffering and unanswered questions,Job 14-16,Psalms 108,What does this show you about who God is — and who you are to Him?
260,38,Faith through suffering and unanswered questions,Job 17-18,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
261,38,Faith through suffering and unanswered questions,Job 19-21,Psalms 109,"What's one small, doable step you can take today because of what you read?"
262,38,Faith through suffering and unanswered questions,Job 22-24,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
263,38,Faith through suffering and unanswered questions,Job 25-27,Psalms 110,Who in your life needs the encouragement this passage gave you?
264,38,Faith through suffering and unanswered questions,Job 28-30,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
265,38,Faith through suffering and unanswered questions,Job 31-32,Proverbs 22,Where is God asking for your trust in something you can't control?
266,38,Faith through suffering and unanswered questions,Job 33-35,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
267,39,"Chasing meaning, finding God",Job 36-38,Psalms 111,How can you carry one verse from today into a real moment this week?
268,39,"Chasing meaning, finding God",Job 39-41,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
269,39,"Chasing meaning, finding God","Job 42, Ecclesiastes 1",Psalms 112,Where have you seen this truth show up in your own story?
270,39,"Chasing meaning, finding God",Ecclesiastes 2-4,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
271,39,"Chasing meaning, finding God",Ecclesiastes 5-7,Psalms 113,"Where in your real, everyday life does today's reading actually touch down?"
272,39,"Chasing meaning, finding God",Ecclesiastes 8-10,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
273,39,"Chasing meaning, finding God","Ecclesiastes 11-12, Song of Solomon 1",Psalms 114,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
274,40,Judgment and a coming Savior,Song of Solomon 2-3,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
275,40,Judgment and a coming Savior,Song of Solomon 4-6,Psalms 115,Where do you need grace today instead of trying to earn it?
276,40,Judgment and a coming Savior,"Song of Solomon 7-8, Isaiah 1",Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
277,40,Judgment and a coming Savior,Isaiah 2-4,Proverbs 23,What feeling or fear does this passage speak to right now?
278,40,Judgment and a coming Savior,Isaiah 5-7,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
279,40,Judgment and a coming Savior,Isaiah 8-9,Psalms 116,What would change if you actually believed this today?
280,40,Judgment and a coming Savior,Isaiah 10-12,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
281,41,Judgment and a coming Savior,Isaiah 13-15,Psalms 117,What habit or mindset is this passage gently challenging?
282,41,Judgment and a coming Savior,Isaiah 16-18,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
283,41,Judgment and a coming Savior,Isaiah 19-21,Psalms 118,What does honest prayer about this look like for you today?
284,41,Judgment and a coming Savior,Isaiah 22-23,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
285,41,Judgment and a coming Savior,Isaiah 24-26,Psalms 119,What's the invitation here — and what's holding you back from saying yes?
286,41,Judgment and a coming Savior,Isaiah 27-29,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
287,41,Judgment and a coming Savior,Isaiah 30-32,Psalms 120,What's one thing God might be inviting you to do differently this week?
288,42,Judgment and a coming Savior,Isaiah 33-35,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
289,42,Judgment and a coming Savior,Isaiah 36-37,Proverbs 24,What does this show you about who God is — and who you are to Him?
290,42,Judgment and a coming Savior,Isaiah 38-40,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
291,42,Judgment and a coming Savior,Isaiah 41-43,Psalms 121,"What's one small, doable step you can take today because of what you read?"
292,42,Judgment and a coming Savior,Isaiah 44-46,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
293,42,Judgment and a coming Savior,Isaiah 47-48,Psalms 122,Who in your life needs the encouragement this passage gave you?
294,42,Judgment and a coming Savior,Isaiah 49-51,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
295,43,Judgment and a coming Savior,Isaiah 52-54,Psalms 123,Where is God asking for your trust in something you can't control?
296,43,Judgment and a coming Savior,Isaiah 55-57,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
297,43,Judgment and a coming Savior,Isaiah 58-60,Psalms 124,How can you carry one verse from today into a real moment this week?
298,43,Judgment and a coming Savior,Isaiah 61-62,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
299,43,Judgment and a coming Savior,Isaiah 63-65,Psalms 125,Where have you seen this truth show up in your own story?
300,43,Judgment and a coming Savior,"Isaiah 66, Jeremiah 1-2",Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
301,43,Judgment and a coming Savior,Jeremiah 3-5,Proverbs 25,"Where in your real, everyday life does today's reading actually touch down?"
302,44,Faithful obedience when it's hard,Jeremiah 6-8,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
303,44,Faithful obedience when it's hard,Jeremiah 9-10,Psalms 126,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
304,44,Faithful obedience when it's hard,Jeremiah 11-13,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
305,44,Faithful obedience when it's hard,Jeremiah 14-16,Psalms 127,Where do you need grace today instead of trying to earn it?
306,44,Faithful obedience when it's hard,Jeremiah 17-19,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
307,44,Faithful obedience when it's hard,Jeremiah 20-22,Psalms 128,What feeling or fear does this passage speak to right now?
308,44,Faithful obedience when it's hard,Jeremiah 23-24,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
309,45,Faithful obedience when it's hard,Jeremiah 25-27,Psalms 129,What would change if you actually believed this today?
310,45,Faithful obedience when it's hard,Jeremiah 28-30,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
311,45,Faithful obedience when it's hard,Jeremiah 31-33,Psalms 130,What habit or mindset is this passage gently challenging?
312,45,Faithful obedience when it's hard,Jeremiah 34-36,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
313,45,Faithful obedience when it's hard,Jeremiah 37-38,Proverbs 26,What does honest prayer about this look like for you today?
314,45,Faithful obedience when it's hard,Jeremiah 39-41,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
315,45,Faithful obedience when it's hard,Jeremiah 42-44,Psalms 131,What's the invitation here — and what's holding you back from saying yes?
316,46,Faithful obedience when it's hard,Jeremiah 45-47,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
317,46,Faithful obedience when it's hard,Jeremiah 48-49,Psalms 132,What's one thing God might be inviting you to do differently this week?
318,46,Faithful obedience when it's hard,Jeremiah 50-52,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
319,46,Faithful obedience when it's hard,Lamentations 1-3,Psalms 133,What does this show you about who God is — and who you are to Him?
320,46,Faithful obedience when it's hard,"Lamentations 4-5, Ezekiel 1",Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
321,46,Faithful obedience when it's hard,Ezekiel 2-4,Psalms 134,"What's one small, doable step you can take today because of what you read?"
322,46,Faithful obedience when it's hard,Ezekiel 5-6,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
323,47,God's glory and a new heart,Ezekiel 7-9,Psalms 135,Who in your life needs the encouragement this passage gave you?
324,47,God's glory and a new heart,Ezekiel 10-12,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
325,47,God's glory and a new heart,Ezekiel 13-15,Proverbs 27,Where is God asking for your trust in something you can't control?
326,47,God's glory and a new heart,Ezekiel 16-18,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
327,47,God's glory and a new heart,Ezekiel 19-20,Psalms 136,How can you carry one verse from today into a real moment this week?
328,47,God's glory and a new heart,Ezekiel 21-23,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
329,47,God's glory and a new heart,Ezekiel 24-26,Psalms 137,Where have you seen this truth show up in your own story?
330,48,God's glory and a new heart,Ezekiel 27-29,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
331,48,God's glory and a new heart,Ezekiel 30-32,Psalms 138,"Where in your real, everyday life does today's reading actually touch down?"
332,48,God's glory and a new heart,Ezekiel 33-34,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
333,48,God's glory and a new heart,Ezekiel 35-37,Psalms 139,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
334,48,God's glory and a new heart,Ezekiel 38-40,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
335,48,God's glory and a new heart,Ezekiel 41-43,Psalms 140,Where do you need grace today instead of trying to earn it?
336,48,God's glory and a new heart,Ezekiel 44-46,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
337,49,Faithful in a foreign culture,Ezekiel 47-48,Proverbs 28,What feeling or fear does this passage speak to right now?
338,49,Faithful in a foreign culture,Daniel 1-3,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
339,49,Faithful in a foreign culture,Daniel 4-6,Psalms 141,What would change if you actually believed this today?
340,49,Faithful in a foreign culture,Daniel 7-9,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
341,49,Faithful in a foreign culture,Daniel 10-11,Psalms 142,What habit or mindset is this passage gently challenging?
342,49,Faithful in a foreign culture,"Daniel 12, Hosea 1-2",Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
343,49,Faithful in a foreign culture,Hosea 3-5,Psalms 143,What does honest prayer about this look like for you today?
344,50,"Relentless, pursuing love",Hosea 6-8,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
345,50,"Relentless, pursuing love",Hosea 9-11,Psalms 144,What's the invitation here — and what's holding you back from saying yes?
346,50,"Relentless, pursuing love",Hosea 12-13,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
347,50,"Relentless, pursuing love","Hosea 14, Joel 1-2",Psalms 145,What's one thing God might be inviting you to do differently this week?
348,50,"Relentless, pursuing love","Joel 3, Amos 1-2",Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
349,50,"Relentless, pursuing love",Amos 3-5,Proverbs 29,What does this show you about who God is — and who you are to Him?
350,50,"Relentless, pursuing love",Amos 6-8,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
351,51,"Do justice, love mercy, walk humbly","Amos 9, Obadiah 1",Psalms 146,"What's one small, doable step you can take today because of what you read?"
352,51,"Do justice, love mercy, walk humbly",Jonah 1-3,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
353,51,"Do justice, love mercy, walk humbly","Jonah 4, Micah 1-2",Psalms 147,Who in your life needs the encouragement this passage gave you?
354,51,"Do justice, love mercy, walk humbly",Micah 3-5,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
355,51,"Do justice, love mercy, walk humbly","Micah 6-7, Nahum 1",Psalms 148,Where is God asking for your trust in something you can't control?
356,51,"Do justice, love mercy, walk humbly",Nahum 2-3,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
357,51,"Do justice, love mercy, walk humbly",Habakkuk 1-3,Psalms 149,How can you carry one verse from today into a real moment this week?
358,52,Hope and the coming King,Zephaniah 1-3,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
359,52,Hope and the coming King,"Haggai 1-2, Zechariah 1",Psalms 150,Where have you seen this truth show up in your own story?
360,52,Hope and the coming King,Zechariah 2-4,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
361,52,Hope and the coming King,Zechariah 5-6,Proverbs 30,"Where in your real, everyday life does today's reading actually touch down?"
362,52,Hope and the coming King,Zechariah 7-9,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
363,52,Hope and the coming King,Zechariah 10-12,Proverbs 31,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
364,52,Hope and the coming King,"Zechariah 13-14, Malachi 1",Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
365,53,Returning your whole heart,Malachi 2-4,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
